what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1460739815046
activated,view,org.eclipse.ui.views,3.6.100.dist,"org.eclipse.ui.views.ContentOutline",1460739819749
activated,editor,org.eclipse.jdt.ui,3.8.1.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1460739819794
activated,view,org.eclipse.ui.views,3.6.100.dist,"org.eclipse.ui.views.ContentOutline",1460739819816
activated,editor,org.eclipse.jdt.ui,3.8.1.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1460739824260
activated,view,org.eclipse.ui.views,3.6.100.dist,"org.eclipse.ui.views.ContentOutline",1460739824287
deactivated,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1460739829881
activated,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1460739831542
deactivated,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1460739831728
closed,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1460739833885
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.dist,"org.eclipse.equinox.p2.ui.sdk",1460739834307
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.400.dist,"org.eclipse.pde.api.tools.ui",1460739834307
stopped,bundle,org.eclipse.pde.ds.ui,1.0.200.dist,"org.eclipse.pde.ds.ui",1460739834313
stopped,bundle,org.eclipse.pde.runtime,3.4.300.dist,"org.eclipse.pde.runtime",1460739834323
stopped,bundle,org.eclipse.pde.ua.ui,1.0.200.dist,"org.eclipse.pde.ua.ui",1460739834331
stopped,bundle,org.eclipse.pde.ui.templates,3.4.500.dist,"org.eclipse.pde.ui.templates",1460739834383
stopped,bundle,org.eclipse.wb.rcp.SWT_AWT,1.3.0.r37x201202021427,"org.eclipse.wb.rcp.SWT_AWT",1460739834393
stopped,bundle,org.eclipse.wb.rcp.databinding.emf,1.3.0.r37x201202010053,"org.eclipse.wb.rcp.databinding.emf",1460739834408
stopped,bundle,org.eclipse.wb.rcp.databinding.xwt,1.3.0.r37x201202061752,"org.eclipse.wb.rcp.databinding.xwt",1460739834440
